Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Candida albicans EUCAST,284,360,208,77,16,6,4,1,1,0,0,0,0,0,0,1,0,0,0,1,958,-,
Candida glabrata EUCAST,55,38,60,149,62,8,6,8,2,2,0,0,2,0,0,0,0,0,0,1,392,-,
Candida guilliermondii EUCAST,0,0,0,0,0,1,0,2,5,17,6,1,0,0,0,0,0,0,0,1,32,-,
Candida krusei EUCAST,2,1,12,21,7,12,2,3,0,0,0,0,0,0,0,0,0,0,0,1,60,-,
Candida parapsilosis EUCAST,0,3,1,0,4,6,2,36,78,171,96,13,7,0,0,2,0,0,0,1,419,-,
Candida tropicalis EUCAST,18,19,12,30,22,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,110,-,
