Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Citrobacter freundii,0,0,0,0,0,2,22,11,3,2,0,1,0,0,0,0,0,0,0,1,41,-,,
Citrobacter koseri,0,0,0,1,1,11,20,9,3,1,0,0,0,0,0,0,0,1,2,1,49,-,,
Enterobacter cloacae,0,0,0,0,0,2,4,17,18,3,1,0,1,0,0,0,0,0,0,1,46,-,,
Escherichia coli,0,0,0,0,7,225,667,241,125,115,51,18,17,5,5,7,6,8,5,4,1502,-0.5,,
Klebsiella aerogenes,0,0,0,0,0,0,3,16,26,12,2,1,1,0,0,0,0,0,4,1,65,-,,
Klebsiella oxytoca,0,0,0,0,0,5,11,15,4,5,0,0,0,0,0,0,0,1,1,1,42,-,,
Klebsiella pneumoniae,0,0,0,0,1,5,44,62,22,14,2,2,0,2,1,2,1,0,17,2,175,-,,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,0,0,0,5,12,6,1,0,1,0,1,25,-,,
