Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Staphylococcus aureus,0,1,10,34,251,3634,1831,224,35,1,5,0,0,0,1,2,0,0,0,7,6029,0.5,,
Staphylococcus aureus MRSA,0,0,0,0,10,160,30,0,0,0,0,0,0,0,0,0,0,0,0,2,200,-,,
Staphylococcus aureus MSSA,0,0,0,0,5,127,66,0,0,0,0,0,0,0,1,1,0,0,0,2,200,-,,
Staphylococcus lugdunensis,0,0,4,38,146,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,199,-,,
Streptococcus agalactiae,0,0,5,83,790,173,17,3,0,0,0,0,0,0,0,0,0,0,0,2,1071,-,,
Streptococcus pyogenes,4,10,105,938,1467,191,54,2,0,0,0,0,0,0,0,0,0,0,0,3,2771,-0.125,,
