Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Listeria monocytogenes,0,0,0,0,0,0,0,0,0,0,1,3,10,165,22,0,0,0,0,2,201,-,,
Staphylococcus aureus,0,0,0,0,0,0,1,1,155,681,39,2,1,10,16,9,0,0,396,4,1311,-2,,
Staphylococcus coagulase negative,0,0,0,0,0,0,0,9,69,103,26,13,8,12,32,7,0,0,0,3,279,-,,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,6,60,38,3,0,13,0,0,0,0,0,4,120,-4,0.500 - 8.000,
Staphylococcus pseudintermedius,0,0,0,0,0,0,1,7,96,112,8,8,5,179,0,0,0,0,0,7,416,2,0.500 - 2.000,
