Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Escherichia coli,0,0,0,0,0,10,29,25,23,23,32,16,6,3,0,2,10,0,0,1,179,-,
Escherichia coli ATCC 25922,0,0,0,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,0,2,36,-,
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,1,23,-,
Klebsiella oxytoca,0,0,0,0,0,1,3,2,7,4,2,0,0,0,0,0,3,0,0,1,22,-,
Klebsiella pneumoniae,0,0,0,0,0,3,8,17,16,31,26,11,9,1,0,0,18,0,0,1,140,-,
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,15,18,2,0,0,0,0,0,0,0,0,2,35,-,
Pseudomonas aeruginosa,0,0,0,0,0,0,0,1,20,96,82,42,20,22,17,16,8,0,0,3,324,-,
Pseudomonas aeruginosa ATCC 27853,0,0,0,0,0,0,0,0,0,10,31,3,0,0,0,0,0,0,0,2,44,-,
