Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Escherichia coli,0,0,0,0,0,0,1,37,1651,446,31,88,288,192,28,37,40,0,0,10,2839,2,,
Mannheimia haemolytica,0,0,0,0,0,2,39,154,37,4,20,45,18,11,1,0,0,0,0,9,331,0.5,,
Pasteurella multocida,0,0,0,0,2,124,209,114,28,13,9,5,9,68,4,40,0,0,0,12,625,0.5,0.125 - 0.5,
Salmonella enterica,0,0,0,0,0,0,1,5,3653,2855,270,49,237,288,82,26,4,0,0,5,7470,2,,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,1,19,47,9,0,0,0,0,0,0,0,3,76,-4,0.500 - 16.000,
Staphylococcus pseudintermedius,0,0,0,0,0,0,0,0,1,26,50,21,11,0,0,0,0,0,0,3,109,-16,0.5 - 32,
