Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterococcus faecalis,0,0,0,0,0,0,0,0,8,4,20,31,112,224,18,0,0,0,0,8,417,32,,
Enterococcus faecium,0,0,0,0,0,0,0,82,344,664,982,351,278,127,227,190,17,0,0,20,3262,4,,
Enterococcus hirae,0,0,0,0,0,0,0,0,162,55,230,40,60,15,6,0,0,0,0,8,568,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,27,123,38,13,0,0,0,0,0,0,0,2,201,-,,
Staphylococcus intermedius,0,0,0,0,0,0,0,24,103,13,0,0,0,0,0,0,0,0,0,2,140,-,,
