Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Enterococcus faecalis,0,0,0,0,2,2,119,361,95,10,46,108,34,33,9,0,0,0,181,3,1000,-1,
Enterococcus faecium,0,0,0,0,2,1,9,10,21,30,14,37,9,54,15,0,0,0,0,2,202,-,
Staphylococcus aureus,0,0,0,0,654,1216,542,63,49,118,100,93,1,1,0,0,0,0,203,2,3040,-,
Staphylococcus epidermidis,0,0,0,0,23,81,31,44,188,59,23,19,0,7,0,0,0,0,0,1,475,-,
Staphylococcus haemolyticus,0,0,0,0,2,1,1,0,15,4,5,0,0,0,0,0,0,0,0,1,28,-,
Stenotrophomonas maltophilia,0,0,0,0,4,2,24,83,75,31,23,4,3,0,0,0,0,0,147,2,396,-,
