Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Staphylococcus aureus,0,0,0,4,14,478,4112,6074,1402,105,51,72,94,194,86,35,56,24,433,14,13234,1,,
Staphylococcus aureus MRSA,0,0,0,0,1,10,123,1452,733,30,7,22,15,19,11,0,0,0,34,4,2457,-1,,
Staphylococcus aureus MSSA,0,0,0,0,0,5,117,881,162,5,0,1,0,0,0,0,0,0,2,3,1173,-1,,
Staphylococcus lugdunensis,0,0,0,0,6,25,60,3,0,0,0,0,0,0,0,0,0,0,0,1,94,-,,
Streptococcus agalactiae,0,0,0,0,0,6,25,55,402,514,35,11,5,8,2,2,3,3,0,2,1071,-,,
Streptococcus pyogenes,0,0,0,0,35,870,1327,303,139,26,11,11,8,0,5,2,25,2,7,3,2771,-0.5,,
