Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Candida albicans EUCAST,0,290,360,243,39,5,1,0,0,2,0,0,0,0,0,0,0,0,0,1,940,-,,
Candida glabrata EUCAST,0,90,182,100,35,3,4,0,1,1,2,0,0,0,0,0,0,0,0,1,418,-,,
Candida guilliermondii EUCAST,0,0,0,0,0,0,1,5,7,8,1,0,0,0,0,0,0,0,0,1,22,-,,
Candida krusei EUCAST,0,1,0,4,26,185,215,37,9,0,4,0,0,0,0,0,0,0,0,1,481,-,,
Candida parapsilosis EUCAST,0,0,0,3,1,0,1,35,113,332,244,14,0,0,0,0,0,0,0,1,743,-,,
Candida tropicalis EUCAST,0,48,51,247,200,59,14,2,0,2,0,0,0,0,0,0,0,0,0,1,623,-,,
