Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Candida albicans EUCAST,0,0,0,0,9,86,813,986,178,15,15,17,23,14,3,7,9,0,0,5,2175,0.5,
Candida dubliniensis EUCAST,0,0,0,0,0,8,49,52,19,4,2,1,0,1,4,2,0,0,0,3,142,-0.5,
Candida glabrata EUCAST,0,0,0,0,0,0,2,4,6,45,243,488,271,59,51,74,46,0,0,8,1289,16,
Candida guilliermondii EUCAST,0,0,0,0,0,0,0,0,1,1,20,17,8,6,1,3,9,0,0,3,66,-16,
Candida kefyr EUCAST,0,0,0,0,0,1,2,34,23,4,1,1,2,1,0,0,0,0,0,3,69,-1,
Candida krusei EUCAST,0,0,0,0,0,0,0,0,0,1,0,5,6,79,138,116,16,2,0,7,363,128,
Candida parapsilosis EUCAST,0,0,0,0,0,1,27,201,328,159,38,25,17,14,11,8,6,0,0,8,835,2,
Candida tropicalis EUCAST,0,0,0,0,0,1,23,203,217,51,21,9,9,4,4,4,5,0,0,7,551,1,
