Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Haemophilus influenzae,0,0,0,0,0,353,3345,8958,3562,900,301,63,9,3,0,0,0,0,0,2,17494,-,
Haemophilus parainfluenzae,0,0,0,0,0,133,162,74,28,16,2,1,0,0,0,0,0,0,0,1,416,-,
Legionella pneumophila,0,0,0,0,0,0,0,0,8,15,29,35,11,2,0,0,0,0,0,1,100,-,
Moraxella catarrhalis,0,0,0,0,0,247,2248,1405,158,25,1,0,0,0,0,0,0,0,0,1,4084,-,
Streptococcus pneumoniae,0,0,0,2,80,1908,429,106,46,24,18,87,262,23,1,0,0,0,0,1,2986,-,
