Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Enterococcus faecalis,0,0,0,0,0,0,0,0,2,94,840,209,28,4,5,1,0,0,0,15,1183,8,
Enterococcus faecium,0,0,0,0,0,0,0,0,14,166,1052,1545,467,51,16,79,453,0,0,26,3843,16,
Enterococcus hirae,0,0,0,0,0,0,0,0,6,62,151,271,67,11,0,0,0,0,0,8,568,16,
Staphylococcus aureus,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,0,1,14,-,
Staphylococcus intermedius,0,0,0,0,0,0,0,0,0,46,52,37,2,2,1,0,0,0,0,2,140,-,
