"strain","freq","mic","n","dose","run"
"b5",3967720821730.25,10,5,19,4
"b1",636983974413.821,1,5,19,5
"b2",1669697707419.3,1.77827941003892,5,19,5
"b3",3263854447284.08,3.16227766016838,5,19,5
"b4",6560837816323.59,5.62341325190349,5,19,5
"b5",3967720821730.25,10,5,19,5
"b1",630308940806.845,1,5,19,6
"b2",1540500712719.4,1.77827941003892,5,19,6
"b3",3279805816636.32,3.16227766016838,5,19,6
"b4",6332522386449.15,5.62341325190349,5,19,6
"b5",4375005010255.53,10,5,19,6
"b1",655754485359.801,1,5,19,7
"b2",1612895436237.11,1.77827941003892,5,19,7
"b3",3494704154420.25,3.16227766016838,5,19,7
"b4",6650532233386.02,5.62341325190349,5,19,7
"b5",3649673909887.52,10,5,19,7
"b1",653247762889.433,1,5,19,8
"b2",1666799885023.29,1.77827941003892,5,19,8
"b3",3486027057760.63,3.16227766016838,5,19,8
"b4",6559392105379.42,5.62341325190349,5,19,8
"b5",3687900389262.05,10,5,19,8
"b1",564467421757.1,1,5,19,9
"b2",1701505806449.19,1.77827941003892,5,19,9
"b3",3503153873245.85,3.16227766016838,5,19,9
"b4",6447161113614.48,5.62341325190349,5,19,9
"b5",3919924443096.83,10,5,19,9
"b1",653813114889.633,1,5,19,10
"b2",1394391505134.63,1.77827941003892,5,19,10
"b3",3411422116752.52,3.16227766016838,5,19,10
"b4",6505501964507.14,5.62341325190349,5,19,10
"b5",4192558548467.11,10,5,19,10
"b1",566184198195.293,1,5,20,1
"b2",1612237643063.97,1.77827941003892,5,20,1
"b3",3302160660204.99,3.16227766016838,5,20,1
"b4",6292067803960.74,5.62341325190349,5,20,1
"b5",4200190038598.33,10,5,20,1
"b1",581959741721.177,1,5,20,2
"b2",1504252435401,1.77827941003892,5,20,2
"b3",3242131339911.75,3.16227766016838,5,20,2
"b4",6205933943910.82,5.62341325190349,5,20,2
"b5",4472293746895.14,10,5,20,2
"b1",555771275723.5,1,5,20,3
"b2",1533121756841.17,1.77827941003892,5,20,3
"b3",3325433035307.17,3.16227766016838,5,20,3
"b4",6250581084478.82,5.62341325190349,5,20,3
"b5",4347784759589.43,10,5,20,3
"b1",516887904886.048,1,5,20,4
"b2",1590534579398.58,1.77827941003892,5,20,4
"b3",3227140563858.17,3.16227766016838,5,20,4
"b4",6431462808402.87,5.62341325190349,5,20,4
"b5",4276645981016.97,10,5,20,4
"b1",555771275723.5,1,5,20,5
"b2",1533121756841.17,1.77827941003892,5,20,5
"b3",3325433035307.17,3.16227766016838,5,20,5
"b4",6250581084478.82,5.62341325190349,5,20,5
"b5",4347784759589.43,10,5,20,5
"b1",565870198176.562,1,5,20,6
"b2",1421001435612.38,1.77827941003892,5,20,6
"b3",3129871126732.39,3.16227766016838,5,20,6
"b4",6038952283616.57,5.62341325190349,5,20,6
"b5",4924137379747.67,10,5,20,6
"b1",568224985232.915,1,5,20,7
"b2",1516273935761.25,1.77827941003892,5,20,7
"b3",2911931904543.99,3.16227766016838,5,20,7
"b4",6143003367670.2,5.62341325190349,5,20,7
"b5",4928993072798.09,10,5,20,7
"b1",559310455929.416,1,5,20,8
"b2",1621022599991,1.77827941003892,5,20,8
"b3",3306218563261.07,3.16227766016838,5,20,8
"b4",5927447167674.1,5.62341325190349,5,20,8
"b5",4581131015769.86,10,5,20,8
"b1",576844468954.357,1,5,20,9
"b2",1571022832732.66,1.77827941003892,5,20,9
"b3",3285359104851.55,3.16227766016838,5,20,9
"b4",6087950645461.84,5.62341325190349,5,20,9
"b5",4466661033678.91,10,5,20,9
"b1",576844468954.357,1,5,20,10
"b2",1571022832732.66,1.77827941003892,5,20,10
"b3",3285359104851.55,3.16227766016838,5,20,10
"b4",6087950645461.84,5.62341325190349,5,20,10
"b5",4466661033678.91,10,5,20,10
"b1",483233252409.395,1,5,21,1
"b2",1461403909084.73,1.77827941003892,5,21,1
"b3",3232717491814.67,3.16227766016838,5,21,1
"b4",5995832708726.46,5.62341325190349,5,21,1
"b5",4752849288166.93,10,5,21,1
"b1",497756738703.834,1,5,21,2
"b2",1331336661579.31,1.77827941003892,5,21,2
"b3",3088743039396.06,3.16227766016838,5,21,2
"b4",6148240423146.98,5.62341325190349,5,21,2
"b5",4905374122613.45,10,5,21,2
"b1",491396848141.142,1,5,21,3
"b2",1421658491188.5,1.77827941003892,5,21,3
"b3",3116899569719.68,3.16227766016838,5,21,3
"b4",5732292933120.48,5.62341325190349,5,21,3
"b5",5199445105196.62,10,5,21,3
"b1",498569732745.068,1,5,21,4
"b2",1410863051112.43,1.77827941003892,5,21,4
"b3",3266372788777.73,3.16227766016838,5,21,4
"b4",6043279724329.7,5.62341325190349,5,21,4
"b5",4698659859641.16,10,5,21,4
"b1",507469829965.382,1,5,21,5
"b2",1517189589223.4,1.77827941003892,5,21,5
"b3",3018753034509.13,3.16227766016838,5,21,5
"b4",5969950780539.13,5.62341325190349,5,21,5
"b5",4891981919824.91,10,5,21,5
"b1",502156937185.005,1,5,21,6
"b2",1419161996726.76,1.77827941003892,5,21,6
"b3",3180059725903.61,3.16227766016838,5,21,6
"b4",6164135326091.29,5.62341325190349,5,21,6
"b5",4650980914788.11,10,5,21,6
"b1",496414980458.128,1,5,21,7
"b2",1416947511716.16,1.77827941003892,5,21,7
"b3",3122180958280.48,3.16227766016838,5,21,7
"b4",5901899721943.77,5.62341325190349,5,21,7
"b5",5009904508775.54,10,5,21,7
"b1",486738070090.184,1,5,21,8
"b2",1422914002912.46,1.77827941003892,5,21,8
"b3",3072801465111.09,3.16227766016838,5,21,8
"b4",5948646626177.28,5.62341325190349,5,21,8
"b5",5031938992232.42,10,5,21,8
"b1",501752133154.794,1,5,21,9
"b2",1321336557597.02,1.77827941003892,5,21,9
"b3",3212858216844.06,3.16227766016838,5,21,9
"b4",5660063148051.89,5.62341325190349,5,21,9
"b5",5280149879436.35,10,5,21,9
"b1",486738070090.184,1,5,21,10
"b2",1422914002912.46,1.77827941003892,5,21,10
"b3",3072801465111.09,3.16227766016838,5,21,10
"b4",5948646626177.28,5.62341325190349,5,21,10
"b5",5031938992232.42,10,5,21,10
"b1",427056807780.988,1,5,22,1
"b2",1330676269445.5,1.77827941003892,5,22,1
"b3",2981215727588.16,3.16227766016838,5,22,1
"b4",5400361153749.12,5.62341325190349,5,22,1
"b5",5757147341369.54,10,5,22,1
"b1",438431529158.574,1,5,22,2
"b2",1313260577731.83,1.77827941003892,5,22,2
"b3",2648635125753.97,3.16227766016838,5,22,2
"b4",5645416711315.85,5.62341325190349,5,22,2
"b5",5880825354631.54,10,5,22,2
"b1",439729297909.938,1,5,22,3
"b2",1415904439073.02,1.77827941003892,5,22,3
"b3",2846545679790.25,3.16227766016838,5,22,3
"b4",5477579579095.01,5.62341325190349,5,22,3
"b5",5679276469100.89,10,5,22,3
"b1",428952764253.237,1,5,22,4
"b2",1292586779764.45,1.77827941003892,5,22,4
"b3",2853009800074.35,3.16227766016838,5,22,4
"b4",5448033944792.86,5.62341325190349,5,22,4
"b5",5904851129812,10,5,22,4
"b1",428952764253.237,1,5,22,5
"b2",1292586779764.45,1.77827941003892,5,22,5
"b3",2853009800074.35,3.16227766016838,5,22,5
"b4",5448033944792.86,5.62341325190349,5,22,5
"b5",5904851129812,10,5,22,5
"b1",441932044633.154,1,5,22,6
"b2",1336332882835.93,1.77827941003892,5,22,6
"b3",2645493383717.28,3.16227766016838,5,22,6
"b4",5670747696715.32,5.62341325190349,5,22,6
"b5",5816271830200.11,10,5,22,6
"b1",436836543868.302,1,5,22,7
"b2",1423807843337.09,1.77827941003892,5,22,7
"b3",2876999056727.72,3.16227766016838,5,22,7
"b4",5787634278745.27,5.62341325190349,5,22,7
"b5",5313409298620.58,10,5,22,7
"b1",434379825732.885,1,5,22,8
"b2",1352806028073.71,1.77827941003892,5,22,8
"b3",2911943131860.86,3.16227766016838,5,22,8
"b4",5715194692756.21,5.62341325190349,5,22,8
"b5",5456156451073.97,10,5,22,8
"b1",439889885659.984,1,5,22,9
"b2",1371674842792.4,1.77827941003892,5,22,9
"b3",2855433568236.37,3.16227766016838,5,22,9
"b4",5949690102381.47,5.62341325190349,5,22,9
"b5",5234043002290.75,10,5,22,9
"b1",437103679184.345,1,5,22,10
"b2",1352488354315.66,1.77827941003892,5,22,10
"b3",2951108609332.57,3.16227766016838,5,22,10
"b4",5629339629335.35,5.62341325190349,5,22,10
"b5",5494816888705.62,10,5,22,10
"b1",367862904448.704,1,5,23,1
"b2",1296280769157.77,1.77827941003892,5,23,1
"b3",2823977944609.66,3.16227766016838,5,23,1
"b4",5054295726917.69,5.62341325190349,5,23,1
"b5",6274652328611.41,10,5,23,1
"b1",371681387869.327,1,5,23,2
"b2",1243717476096.96,1.77827941003892,5,23,2
"b3",2655658947318.38,3.16227766016838,5,23,2
"b4",5227618884451.36,5.62341325190349,5,23,2
"b5",6353873804550.47,10,5,23,2
"b1",364132984091.94,1,5,23,3
"b2",1252670720735.87,1.77827941003892,5,23,3
"b3",2818876641030.69,3.16227766016838,5,23,3
"b4",5442004882562.34,5.62341325190349,5,23,3
"b5",5945002867979.68,10,5,23,3
"b1",379407872212.339,1,5,23,4
"b2",1264723033515.7,1.77827941003892,5,23,4
"b3",2670411540291.33,3.16227766016838,5,23,4
"b4",5407938388651.17,5.62341325190349,5,23,4
"b5",6094665679842.35,10,5,23,4
"b1",364132984091.94,1,5,23,5
"b2",1252670720735.87,1.77827941003892,5,23,5
"b3",2818876641030.69,3.16227766016838,5,23,5
"b4",5442004882562.34,5.62341325190349,5,23,5
"b5",5945002867979.68,10,5,23,5
"b1",360098993946.773,1,5,23,6
"b2",1292351898851.99,1.77827941003892,5,23,6
"b3",2846092260759.2,3.16227766016838,5,23,6
"b4",5499332339872.02,5.62341325190349,5,23,6
"b5",5806468402377.21,10,5,23,6
"b1",375688416766.342,1,5,23,7
"b2",1279068516064.33,1.77827941003892,5,23,7
"b3",2866691505804.57,3.16227766016838,5,23,7
"b4",5475643139670.28,5.62341325190349,5,23,7
"b5",5783337806420.33,10,5,23,7
"b1",377806336017.899,1,5,23,8
"b2",1179514969999.35,1.77827941003892,5,23,8
"b3",2773737606455.51,3.16227766016838,5,23,8
"b4",5333028083493.98,5.62341325190349,5,23,8
"b5",6180963724057.29,10,5,23,8
"b1",379011206599.614,1,5,23,9
"b2",1302627895855.87,1.77827941003892,5,23,9
"b3",2517786186005.95,3.16227766016838,5,23,9
"b4",5457153840009.9,5.62341325190349,5,23,9
"b5",6167088367949.52,10,5,23,9
"b1",379011206599.614,1,5,23,10
"b2",1302627895855.87,1.77827941003892,5,23,10
"b3",2517786186005.95,3.16227766016838,5,23,10
"b4",5457153840009.9,5.62341325190349,5,23,10
"b5",6167088367949.52,10,5,23,10
"b1",327170520672.482,1,5,24,1
"b2",1250608993899.16,1.77827941003892,5,24,1
"b3",2552007572847.5,3.16227766016838,5,24,1
"b4",5193807800251.3,5.62341325190349,5,24,1
"b5",6388220223863.48,10,5,24,1
"b1",327443791668.821,1,5,24,2
"b2",1177283616449.6,1.77827941003892,5,24,2
"b3",2519941300486.6,3.16227766016838,5,24,2
"b4",5107187937019.81,5.62341325190349,5,24,2
"b5",6625389063971.06,10,5,24,2
"b1",305304004156.798,1,5,24,3
"b2",1141565856565.71,1.77827941003892,5,24,3
"b3",2445867804560.01,3.16227766016838,5,24,3
"b4",5368307989045.37,5.62341325190349,5,24,3
"b5",6559017325732.95,10,5,24,3
"b1",317154911066.022,1,5,24,4
"b2",1233831139284.71,1.77827941003892,5,24,4
"b3",2597785665086.55,3.16227766016838,5,24,4
"b4",5174553243298.16,5.62341325190349,5,24,4
"b5",6411111994059.24,10,5,24,4
"b1",317663107687.742,1,5,24,5
"b2",1157591483943.21,1.77827941003892,5,24,5
"b3",2772718566670.67,3.16227766016838,5,24,5
"b4",5328954123051.9,5.62341325190349,5,24,5
"b5",6153238053280.92,10,5,24,5
"b1",327301578802.513,1,5,24,6
"b2",1109671541806.81,1.77827941003892,5,24,6
"b3",2673845746981.49,3.16227766016838,5,24,6
"b4",5020698323912.27,5.62341325190349,5,24,6
"b5",6636412398465.79,10,5,24,6
"b1",323166839834.022,1,5,24,7
"b2",1121797800989.82,1.77827941003892,5,24,7
"b3",2667780413037.09,3.16227766016838,5,24,7
"b4",5141557589424.16,5.62341325190349,5,24,7
"b5",6510689024060.58,10,5,24,7
"b1",321511753096.631,1,5,24,8
"b2",1150724220842.06,1.77827941003892,5,24,8
"b3",2644018912711.99,3.16227766016838,5,24,8
"b4",5183767924397.59,5.62341325190349,5,24,8
"b5",6456346979543.83,10,5,24,8
"b1",320972134693.578,1,5,24,9
"b2",1201812717656.89,1.77827941003892,5,24,9
"b3",2573445906021.36,3.16227766016838,5,24,9
"b4",4968926489846.42,5.62341325190349,5,24,9
"b5",6692654835427.19,10,5,24,9
"b1",321511753096.631,1,5,24,10
"b2",1150724220842.06,1.77827941003892,5,24,10
"b3",2644018912711.99,3.16227766016838,5,24,10
"b4",5183767924397.59,5.62341325190349,5,24,10
"b5",6456346979543.83,10,5,24,10
"b1",267716032898.043,1,5,25,1
"b2",1089841367893.11,1.77827941003892,5,25,1
"b3",2591736971784.29,3.16227766016838,5,25,1
"b4",5029239300298.12,5.62341325190349,5,25,1
"b5",6701873352055.56,10,5,25,1
"b1",275396646299.898,1,5,25,2
"b2",1141880234362.32,1.77827941003892,5,25,2
"b3",2497775967199.56,3.16227766016838,5,25,2
"b4",4836326505661.12,5.62341325190349,5,25,2
"b5",6911840358223.65,10,5,25,2
"b1",271668354268.834,1,5,25,3
"b2",1154906084099.01,1.77827941003892,5,25,3
"b3",2460431295188.5,3.16227766016838,5,25,3
"b4",5080218636565.47,5.62341325190349,5,25,3
"b5",6691021577546.16,10,5,25,3
"b1",274458020472.7,1,5,25,4
"b2",1056180211558.88,1.77827941003892,5,25,4
"b3",2564919409332.21,3.16227766016838,5,25,4
"b4",4963178511880.99,5.62341325190349,5,25,4
"b5",6830960192767.63,10,5,25,4
"b1",274458020472.7,1,5,25,5
"b2",1056180211558.88,1.77827941003892,5,25,5
"b3",2564919409332.21,3.16227766016838,5,25,5
"b4",4963178511880.99,5.62341325190349,5,25,5
"b5",6830960192767.63,10,5,25,5
"b1",278293015258.649,1,5,25,6
"b2",1072565630199.35,1.77827941003892,5,25,6
"b3",2624389457227.09,3.16227766016838,5,25,6
"b4",4905105785540.72,5.62341325190349,5,25,6
"b5",6783420697519.56,10,5,25,6
"b1",266059840911.342,1,5,25,7
"b2",1082792588661.29,1.77827941003892,5,25,7
"b3",2585543758766.82,3.16227766016838,5,25,7
"b4",5036697099107.73,5.62341325190349,5,25,7
"b5",6717759963833.25,10,5,25,7
"b1",272325031653.93,1,5,25,8
"b2",1089024440650.45,1.77827941003892,5,25,8
"b3",2575514336222.2,3.16227766016838,5,25,8
"b4",4660442708559.54,5.62341325190349,5,25,8
"b5",7097195299576.54,10,5,25,8
"b1",269474695057.591,1,5,25,9
"b2",1069574798570.95,1.77827941003892,5,25,9
"b3",2319105331984.37,3.16227766016838,5,25,9
"b4",5084930908353.56,5.62341325190349,5,25,9
"b5",6990717836777.83,10,5,25,9
"b1",267961797780.621,1,5,25,10
"b2",1142343980945.97,1.77827941003892,5,25,10
"b3",2473754106874.34,3.16227766016838,5,25,10
"b4",4871543254216.03,5.62341325190349,5,25,10
"b5",6928588996143.33,10,5,25,10
"b1",223383504897.35,1,5,26,1
"b2",995941047670.536,1.77827941003892,5,26,1
"b3",2406296429281.13,3.16227766016838,5,26,1
"b4",4741671672207.92,5.62341325190349,5,26,1
"b5",7279347144251.24,10,5,26,1
"b1",229232926757.323,1,5,26,2
"b2",1045218344606.01,1.77827941003892,5,26,2
"b3",2390513226066.2,3.16227766016838,5,26,2
"b4",4779893770556.31,5.62341325190349,5,26,2
"b5",7158608060095.28,10,5,26,2
"b1",223694834027.757,1,5,26,3
"b2",1038773249754.18,1.77827941003892,5,26,3
"b3",2349856201347.85,3.16227766016838,5,26,3
"b4",4760491607476.53,5.62341325190349,5,26,3
"b5",7259134720405.17,10,5,26,3
"b1",228020727467.585,1,5,26,4
"b2",1066733496472.88,1.77827941003892,5,26,4
"b3",2257660144583.47,3.16227766016838,5,26,4
"b4",4888412954751.88,5.62341325190349,5,26,4
"b5",7173375941053.64,10,5,26,4
"b1",223694834027.757,1,5,26,5
"b2",1038773249754.18,1.77827941003892,5,26,5
"b3",2349856201347.85,3.16227766016838,5,26,5
"b4",4760491607476.53,5.62341325190349,5,26,5
"b5",7259134720405.17,10,5,26,5
"b1",224868265316.876,1,5,26,6
"b2",1017397836214.11,1.77827941003892,5,26,6
"b3",2422854787104.15,3.16227766016838,5,26,6
"b4",4463842512113.85,5.62341325190349,5,26,6
"b5",7515875463356.66,10,5,26,6
"b1",230181712794.821,1,5,26,7
"b2",1017321965129.1,1.77827941003892,5,26,7
"b3",2417188373383.45,3.16227766016838,5,26,7
"b4",4586731518966.62,5.62341325190349,5,26,7
"b5",7371651285084.19,10,5,26,7
"b1",220924389406.495,1,5,26,8
"b2",973846762236.09,1.77827941003892,5,26,8
"b3",2324187578238.74,3.16227766016838,5,26,8
"b4",4741513333027.25,5.62341325190349,5,26,8
"b5",7421271268511.64,10,5,26,8
"b1",224298634278.47,1,5,26,9
"b2",1000911874135.69,1.77827941003892,5,26,9
"b3",2391703715670,3.16227766016838,5,26,9
"b4",4524846362930.75,5.62341325190349,5,26,9
"b5",7516038352185.88,10,5,26,9
"b1",224298634278.47,1,5,26,10
"b2",1000911874135.69,1.77827941003892,5,26,10
"b3",2391703715670,3.16227766016838,5,26,10
"b4",4524846362930.75,5.62341325190349,5,26,10
"b5",7516038352185.88,10,5,26,10
"b1",186721208860.671,1,5,27,1
"b2",928784937283.903,1.77827941003892,5,27,1
"b3",2239862787673.37,3.16227766016838,5,27,1
"b4",4325489514866.51,5.62341325190349,5,27,1
"b5",7915417651725.47,10,5,27,1
"b1",187549435327.032,1,5,27,2
"b2",972208917897.526,1.77827941003892,5,27,2
"b3",2297069879115.86,3.16227766016838,5,27,2
"b4",4213273003186.45,5.62341325190349,5,27,2
"b5",7893371972116.73,10,5,27,2
"b1",188392052973.104,1,5,27,3
"b2",1034788754908.64,1.77827941003892,5,27,3
"b3",2109532033468.73,3.16227766016838,5,27,3
"b4",4651020026676.7,5.62341325190349,5,27,3
"b5",7549731781444.57,10,5,27,3
"b1",182220402620.214,1,5,27,4
"b2",957429716878.931,1.77827941003892,5,27,4
"b3",2378083077987.6,3.16227766016838,5,27,4
"b4",4807998290064.56,5.62341325190349,5,27,4
"b5",7208787809579.67,10,5,27,4
"b1",184412894390.63,1,5,27,5
"b2",914588342506.984,1.77827941003892,5,27,5
"b3",2339593424574.91,3.16227766016838,5,27,5
"b4",4514141502420.79,5.62341325190349,5,27,5
"b5",7626893567371.91,10,5,27,5
"b1",195562449115.537,1,5,27,6
"b2",928646990394.402,1.77827941003892,5,27,6
"b3",2240554866665.86,3.16227766016838,5,27,6
"b4",4353781227908.71,5.62341325190349,5,27,6
"b5",7845847632318.83,10,5,27,6
"b1",195562449115.537,1,5,27,7
"b2",928646990394.402,1.77827941003892,5,27,7
"b3",2240554866665.86,3.16227766016838,5,27,7
"b4",4353781227908.71,5.62341325190349,5,27,7
"b5",7845847632318.83,10,5,27,7
"b1",188236358322.102,1,5,27,8
"b2",1010113551183.86,1.77827941003892,5,27,8
"b3",2252873465191.75,3.16227766016838,5,27,8
"b4",4664443916235.85,5.62341325190349,5,27,8
"b5",7402619878410.05,10,5,27,8
"b1",180843950412.359,1,5,27,9
"b2",959529758811.098,1.77827941003892,5,27,9
"b3",2213041031161.55,3.16227766016838,5,27,9
"b4",4492282880054.43,5.62341325190349,5,27,9
"b5",7746864702501.1,10,5,27,9
"b1",189878530192.767,1,5,27,10
"b2",982888835954.557,1.77827941003892,5,27,10
"b3",2188089244994.86,3.16227766016838,5,27,10
"b4",4555202243859.3,5.62341325190349,5,27,10
"b5",7633273505697.77,10,5,27,10
"b1",148443637868.611,1,5,28,1
"b2",919351228290.558,1.77827941003892,5,28,1
"b3",2162623219132.73,3.16227766016838,5,28,1
"b4",4467711750261.02,5.62341325190349,5,28,1
"b5",7778119875719.4,10,5,28,1
"b1",150379254464.721,1,5,28,2
"b2",877290268992.749,1.77827941003892,5,28,2
"b3",2227111362826.67,3.16227766016838,5,28,2
"b4",4517569602344.46,5.62341325190349,5,28,2
"b5",7704923086576.44,10,5,28,2
"b1",146471984688.804,1,5,28,3
"b2",930557830687.829,1.77827941003892,5,28,3
"b3",2137522417999.21,3.16227766016838,5,28,3
"b4",4580244822963.21,5.62341325190349,5,28,3
"b5",7680766154782.17,10,5,28,3
"b1",145334416181.151,1,5,28,4
"b2",931014553008.909,1.77827941003892,5,28,4
"b3",2118539499132.81,3.16227766016838,5,28,4
"b4",4410059106016.66,5.62341325190349,5,28,4
"b5",7891146474038.72,10,5,28,4
"b1",151291123170.103,1,5,28,5
"b2",904357338765.804,1.77827941003892,5,28,5
"b3",2082408616351.36,3.16227766016838,5,28,5
"b4",4419859005299.47,5.62341325190349,5,28,5
"b5",7936164204130.12,10,5,28,5
"b1",144165339815.351,1,5,28,6
"b2",907238891478.599,1.77827941003892,5,28,6
"b3",2187309456041.16,3.16227766016838,5,28,6
"b4",4469855741302.22,5.62341325190349,5,28,6
"b5",7789046691340.67,10,5,28,6
"b1",148923061778.505,1,5,28,7
"b2",934701742215.311,1.77827941003892,5,28,7
"b3",2213205959906.73,3.16227766016838,5,28,7
"b4",4414047006209.22,5.62341325190349,5,28,7
"b5",7746354332355.43,10,5,28,7
"b1",146661037431.979,1,5,28,8
"b2",917764119564.394,1.77827941003892,5,28,8
"b3",2061032291191.91,3.16227766016838,5,28,8
"b4",4411254541017.01,5.62341325190349,5,28,8
"b5",7974099864943.52,10,5,28,8
"b1",139039672950.04,1,5,28,9
"b2",904913984566.233,1.77827941003892,5,28,9
"b3",2196552976974.59,3.16227766016838,5,28,9
"b4",4236271575166.04,5.62341325190349,5,28,9
"b5",8060742243749.72,10,5,28,9
"b1",149229928647.154,1,5,28,10
"b2",885571557505.115,1.77827941003892,5,28,10
"b3",2110489006743.43,3.16227766016838,5,28,10
"b4",4365648500587.54,5.62341325190349,5,28,10
"b5",8001477998499.68,10,5,28,10
"b1",113299676520.928,1,5,29,1
"b2",808453637633.412,1.77827941003892,5,29,1
"b3",2114358866213.44,3.16227766016838,5,29,1
"b4",4172731807840.92,5.62341325190349,5,29,1
"b5",8246084176586.07,10,5,29,1
"b1",118850454536.107,1,5,29,2
"b2",908565739349.73,1.77827941003892,5,29,2
"b3",2106659635444.15,3.16227766016838,5,29,2
"b4",4346453226578.56,5.62341325190349,5,29,2
"b5",7863115126399.44,10,5,29,2
"b1",113299676520.928,1,5,29,3
"b2",808453637633.412,1.77827941003892,5,29,3
"b3",2114358866213.44,3.16227766016838,5,29,3
"b4",4172731807840.92,5.62341325190349,5,29,3
"b5",8246084176586.07,10,5,29,3
"b1",114160145052.364,1,5,29,4
"b2",845357962482.026,1.77827941003892,5,29,4
"b3",1955262938380.95,3.16227766016838,5,29,4
"b4",4033585590911.85,5.62341325190349,5,29,4
"b5",8522011850213.67,10,5,29,4
"b1",110062518511.667,1,5,29,5
"b2",855015994881.105,1.77827941003892,5,29,5
"b3",2097332324092.77,3.16227766016838,5,29,5
"b4",4127828253775.95,5.62341325190349,5,29,5
"b5",8260870414356.7,10,5,29,5
"b1",113719097643.25,1,5,29,6
"b2",850922262763.473,1.77827941003892,5,29,6
"b3",2069161790198.46,3.16227766016838,5,29,6
"b4",4237714424043.24,5.62341325190349,5,29,6
"b5",8157689741473.16,10,5,29,6
"b1",113995344466.804,1,5,29,7
"b2",845096146628.177,1.77827941003892,5,29,7
"b3",2105570732500.16,3.16227766016838,5,29,7
"b4",4285495485769.1,5.62341325190349,5,29,7
"b5",8069680061052,10,5,29,7
"b1",115486576629.796,1,5,29,8
"b2",854946885950.431,1.77827941003892,5,29,8
"b3",2140479141921.9,3.16227766016838,5,29,8
"b4",4218936551422.51,5.62341325190349,5,29,8
"b5",8071087440410.61,10,5,29,8
"b1",115842225444.927,1,5,29,9
"b2",829041057480.935,1.77827941003892,5,29,9
"b3",2141085403769.28,3.16227766016838,5,29,9
"b4",4213421447475.64,5.62341325190349,5,29,9
"b5",8117213192021.08,10,5,29,9
"b1",112938029692.735,1,5,29,10
"b2",812482857319.602,1.77827941003892,5,29,10
"b3",1987174674466.72,3.16227766016838,5,29,10
"b4",4193192770747.56,5.62341325190349,5,29,10
"b5",8375906043698.08,10,5,29,10
"b1",84565431755.8706,1,5,30,1
"b2",725041093854.585,1.77827941003892,5,30,1
"b3",1887363679724.51,3.16227766016838,5,30,1
"b4",4079220106267.83,5.62341325190349,5,30,1
"b5",8652138017449.07,10,5,30,1
"b1",82591834803.2791,1,5,30,2
"b2",703794882860.81,1.77827941003892,5,30,2
"b3",1985860970925.08,3.16227766016838,5,30,2
"b4",3979733190702.73,5.62341325190349,5,30,2
"b5",8692884499526.98,10,5,30,2
"b1",83202854009.4392,1,5,30,3
"b2",768380463127.362,1.77827941003892,5,30,3
"b3",1877126975604.21,3.16227766016838,5,30,3
"b4",3836505378118.63,5.62341325190349,5,30,3
"b5",8863692271117.3,10,5,30,3
"b1",84556116528.1114,1,5,30,4
"b2",801207595690.416,1.77827941003892,5,30,4
"b3",1973665065482.4,3.16227766016838,5,30,4
"b4",3934223505171.1,5.62341325190349,5,30,4
"b5",8569837011740.61,10,5,30,4
"b1",83004244409.317,1,5,30,5
"b2",776243712853.266,1.77827941003892,5,30,5
"b3",2057306902112.98,3.16227766016838,5,30,5
"b4",3985020507500.61,5.62341325190349,5,30,5
"b5",8469902250497.34,10,5,30,5
"b1",81182001753.3457,1,5,30,6
"b2",829075154888.907,1.77827941003892,5,30,6
"b3",2078018882291.81,3.16227766016838,5,30,6
"b4",4051985951890.99,5.62341325190349,5,30,6
"b5",8298822601941.22,10,5,30,6
"b1",82629023435.7802,1,5,30,7
"b2",786623384266.824,1.77827941003892,5,30,7
"b3",1851994319607.92,3.16227766016838,5,30,7
"b4",3799069494740.92,5.62341325190349,5,30,7
"b5",8909022185032.36,10,5,30,7
"b1",81182001753.3457,1,5,30,8
"b2",829075154888.907,1.77827941003892,5,30,8
"b3",2078018882291.81,3.16227766016838,5,30,8
"b4",4051985951890.99,5.62341325190349,5,30,8
"b5",8298822601941.22,10,5,30,8
"b1",82995013523.9557,1,5,30,9
"b2",811181096726.108,1.77827941003892,5,30,9
"b3",2042130950203.65,3.16227766016838,5,30,9
"b4",4108924674032.32,5.62341325190349,5,30,9
"b5",8295499314278.66,10,5,30,9
"b1",84330934804.3243,1,5,30,10
"b2",787032512158.023,1.77827941003892,5,30,10
"b3",1977187546199.48,3.16227766016838,5,30,10
"b4",4180625760754.01,5.62341325190349,5,30,10
"b5",8327516747376.98,10,5,30,10
"b1",53032251129.821,1,5,31,1
"b2",650952830293.075,1.77827941003892,5,31,1
"b3",1922274210749.27,3.16227766016838,5,31,1
"b4",4005987668577.54,5.62341325190349,5,31,1
"b5",8723872828312.06,10,5,31,1
"b1",50101409137.6317,1,5,31,2
"b2",754542886261.581,1.77827941003892,5,31,2
"b3",1952039549796.52,3.16227766016838,5,31,2
"b4",3927054892423.89,5.62341325190349,5,31,2
"b5",8623831792915.53,10,5,31,2
"b1",51144345091.7145,1,5,31,3
"b2",730663945351.414,1.77827941003892,5,31,3
"b3",1925755526890.7,3.16227766016838,5,31,3
"b4",3501035006865.47,5.62341325190349,5,31,3
"b5",9145306521033.87,10,5,31,3
"b1",48817759622.4582,1,5,31,4
"b2",753042157045.524,1.77827941003892,5,31,4
"b3",1940057805657.25,3.16227766016838,5,31,4
