"strain","freq","mic","n","dose","run"
"b1",1753595360879.15,1,2,7,1
"b2",16627144373341,10,2,7,1
"b1",1803489102665.08,1,2,7,2
"b2",16567021313170.7,10,2,7,2
"b1",1840248785638.23,1,2,7,3
"b2",16522728035700.7,10,2,7,3
"b1",1803489102665.08,1,2,7,4
"b2",16567021313170.7,10,2,7,4
"b1",1840248785638.23,1,2,7,5
"b2",16522728035700.7,10,2,7,5
"b1",1818856795256.72,1,2,7,6
"b2",16548503565158.6,10,2,7,6
"b1",1835033966737.05,1,2,7,7
"b2",16529011297341,10,2,7,7
"b1",1850054990794.65,1,2,7,8
"b2",16510912915679.4,10,2,7,8
"b1",1773398433270.99,1,2,7,9
"b2",16603281345412.4,10,2,7,9
"b1",1775782195333.1,1,2,7,10
"b2",16600408833593.8,10,2,7,10
"b1",1506851274122.44,1,2,8,1
"b2",16806651208907.9,10,2,8,1
"b1",1568697817105.52,1,2,8,2
"b2",16729752918956,10,2,8,2
"b1",1520108446919.81,1,2,8,3
"b2",16790167874575,10,2,8,3
"b1",1542574069574.63,1,2,8,4
"b2",16762233183942.9,10,2,8,4
"b1",1516770073050.87,1,2,8,5
"b2",16794318797963.9,10,2,8,5
"b1",1505815777094.9,1,2,8,6
"b2",16807938619155.5,10,2,8,6
"b1",1561230951555.6,1,2,8,7
"b2",16739035899210.2,10,2,8,7
"b1",1578324821782.65,1,2,8,8
"b2",16717785553569,10,2,8,8
"b1",1520108446919.81,1,2,8,9
"b2",16790167874575,10,2,8,9
"b1",1578324821782.65,1,2,8,10
"b2",16717785553569,10,2,8,10
"b1",1359019280722.66,1,2,9,1
"b2",16874051843037,10,2,9,1
"b1",1343556308084.21,1,2,9,2
"b2",16893904039424,10,2,9,2
"b1",1344006851594.65,1,2,9,3
"b2",16893325457423.3,10,2,9,3
"b1",1291479262778.69,1,2,9,4
"b2",16960825918744,10,2,9,4
"b1",1354725515029.5,1,2,9,5
"b2",16879563372296.9,10,2,9,5
"b1",1317441106454.46,1,2,9,6
"b2",16927455250952.7,10,2,9,6
"b1",1325026418119.39,1,2,9,7
"b2",16917707471162,10,2,9,7
"b1",1351403075507.79,1,2,9,8
"b2",16883828630515.1,10,2,9,8
"b1",1288501395225.02,1,2,9,9
"b2",16964653536901.1,10,2,9,9
"b1",1352742837937.35,1,2,9,10
"b2",16882108622120.5,10,2,9,10
"b1",1151854335822.66,1,2,10,1
"b2",17028308260440.8,10,2,10,1
"b1",1224217960875.7,1,2,10,2
"b2",16932278788303.8,10,2,10,2
"b1",1168843894997.44,1,2,10,3
"b2",17005784667051.7,10,2,10,3
"b1",1162352857000.68,1,2,10,4
"b2",17014389314971.2,10,2,10,4
"b1",1175636188053.1,1,2,10,5
"b2",16996780262983,10,2,10,5
"b1",1177422974195.05,1,2,10,6
"b2",16994411341148.2,10,2,10,6
"b1",1135225903634.83,1,2,10,7
"b2",17050367818281.4,10,2,10,7
"b1",1142544816882.16,1,2,10,8
"b2",17040655687406,10,2,10,8
"b1",1197419509737.38,1,2,10,9
"b2",16967886641363.8,10,2,10,9
"b1",1154820307981.75,1,2,10,10
"b2",17024375540214.2,10,2,10,10
"b1",1053247630013.12,1,2,11,1
"b2",17047784687758.4,10,2,11,1
"b1",1054530103829.15,1,2,11,2
"b2",17046011310658.2,10,2,11,2
"b1",977580146424.478,1,2,11,3
"b2",17152207312636.6,10,2,11,3
"b1",989109777516.493,1,2,11,4
"b2",17136365556098.5,10,2,11,4
"b1",1000268822736.96,1,2,11,5
"b2",17121005060446.9,10,2,11,5
"b1",1026443521083.32,1,2,11,6
"b2",17084866771536.4,10,2,11,6
"b1",1034681693434.93,1,2,11,7
"b2",17073470656840.9,10,2,11,7
"b1",977638779882.643,1,2,11,8
"b2",17152126814336.7,10,2,11,8
"b1",988983122502.701,1,2,11,9
"b2",17136539731371.9,10,2,11,9
"b1",999201943279.431,1,2,11,10
"b2",17122474904217.2,10,2,11,10
"b1",941354661189.474,1,2,12,1
"b2",17091889825902.2,10,2,12,1
"b1",884908296038.87,1,2,12,2
"b2",17172098476285.5,10,2,12,2
"b1",902094901897.283,1,2,12,3
"b2",17147631336177.5,10,2,12,3
"b1",900284625232.595,1,2,12,4
"b2",17150203892429.9,10,2,12,4
"b1",864809752794.143,1,2,12,5
"b2",17200867411079.1,10,2,12,5
"b1",883193099213.154,1,2,12,6
"b2",17174546515889.9,10,2,12,6
"b1",898830716065.746,1,2,12,7
"b2",17152270673499.1,10,2,12,7
"b1",882353669431.243,1,2,12,8
"b2",17175745072490.5,10,2,12,8
"b1",877002100189.193,1,2,12,9
"b2",17183393578203.2,10,2,12,9
"b1",870071371683.916,1,2,12,10
"b2",17193318409753.8,10,2,12,10
"b1",759206867404.361,1,2,13,1
"b2",17248058251530.1,10,2,13,1
"b1",797501164098.075,1,2,13,2
"b2",17190696508687.6,10,2,13,2
"b1",781458628660.024,1,2,13,3
"b2",17214850157969.6,10,2,13,3
"b1",749393169511.353,1,2,13,4
"b2",17262580893510.5,10,2,13,4
"b1",778635398758.039,1,2,13,5
"b2",17219085202977.5,10,2,13,5
"b1",756012794505.975,1,2,13,6
"b2",17252792478774.6,10,2,13,6
"b1",772016940111.869,1,2,13,7
"b2",17228989543467.2,10,2,13,7
"b1",778689382423.103,1,2,13,8
"b2",17219004278464.2,10,2,13,8
"b1",780484292824.932,1,2,13,9
"b2",17216312379666.1,10,2,13,9
"b1",788804188300.241,1,2,13,10
"b2",17203806548753,10,2,13,10
"b1",685462171157.748,1,2,14,1
"b2",17252597008834.2,10,2,14,1
"b1",736012778095.16,1,2,14,2
"b2",17175143855050.6,10,2,14,2
"b1",672460812258.419,1,2,14,3
"b2",17272471043604.5,10,2,14,3
"b1",717227265885.73,1,2,14,4
"b2",17204156105679,10,2,14,4
"b1",711642991546.754,1,2,14,5
"b2",17212704506984.1,10,2,14,5
"b1",707735838887.018,1,2,14,6
"b2",17218671063209.6,10,2,14,6
"b1",683499355978.923,1,2,14,7
"b2",17255590043433.7,10,2,14,7
"b1",683901495932.937,1,2,14,8
"b2",17254976671848.5,10,2,14,8
"b1",686482078235.372,1,2,14,9
"b2",17251042507504.3,10,2,14,9
"b1",683338340926.031,1,2,14,10
"b2",17255835659529.8,10,2,14,10
"b1",610484556286.315,1,2,15,1
"b2",17264527071041.3,10,2,15,1
"b1",580700487673.328,1,2,15,2
"b2",17314347111941.3,10,2,15,2
"b1",608228938992.193,1,2,15,3
"b2",17268274855082.5,10,2,15,3
"b1",602778610833.929,1,2,15,4
